,Run,avgLength,size_MB,Sample,LibraryLayout,Experiment,SRAStudy
2,SRR32962829,302,1235,SRS24584644,PAIRED,SRX28236500,SRP576164
3,SRR32962828,302,1408,SRS24584646,PAIRED,SRX28236501,SRP576164
4,SRR32962827,302,1222,SRS24584645,PAIRED,SRX28236502,SRP576164
370,SRR12632460,212,244,SRS7360046,PAIRED,SRX9114737,SRP281932
371,SRR12632459,177,172,SRS7360047,PAIRED,SRX9114738,SRP281932
372,SRR12632458,159,152,SRS7360048,PAIRED,SRX9114739,SRP281932
375,SRR12632463,216,248,SRS7360037,PAIRED,SRX9114734,SRP281932
376,SRR12632462,199,200,SRS7360044,PAIRED,SRX9114735,SRP281932
377,SRR12632461,186,40,SRS7360045,PAIRED,SRX9114736,SRP281932
378,SRR12632465,185,202,SRS7359994,PAIRED,SRX9114732,SRP281932
379,SRR12632464,204,267,SRS7359995,PAIRED,SRX9114733,SRP281932
380,SRR12632469,177,170,SRS7360043,PAIRED,SRX9114728,SRP281932
381,SRR12632470,149,90,SRS7360081,PAIRED,SRX9114727,SRP281932
382,SRR12632468,182,199,SRS7360082,PAIRED,SRX9114729,SRP281932
383,SRR12632467,186,211,SRS7360084,PAIRED,SRX9114730,SRP281932
384,SRR12632466,187,197,SRS7360085,PAIRED,SRX9114731,SRP281932
385,SRR12632475,217,240,SRS7360076,PAIRED,SRX9114722,SRP281932
386,SRR12632474,219,244,SRS7360077,PAIRED,SRX9114723,SRP281932
387,SRR12632473,196,206,SRS7360078,PAIRED,SRX9114724,SRP281932
388,SRR12632472,147,113,SRS7360079,PAIRED,SRX9114725,SRP281932
389,SRR12632471,193,163,SRS7360080,PAIRED,SRX9114726,SRP281932
390,SRR12632480,238,351,SRS7360042,PAIRED,SRX9114717,SRP281932
391,SRR12632479,209,763,SRS7360071,PAIRED,SRX9114718,SRP281932
392,SRR12632478,223,318,SRS7360073,PAIRED,SRX9114719,SRP281932
393,SRR12632477,206,197,SRS7360074,PAIRED,SRX9114720,SRP281932
394,SRR12632476,198,204,SRS7360075,PAIRED,SRX9114721,SRP281932
395,SRR12632485,165,161,SRS7360066,PAIRED,SRX9114712,SRP281932
396,SRR12632484,217,254,SRS7360067,PAIRED,SRX9114713,SRP281932
397,SRR12632483,211,3,SRS7360068,PAIRED,SRX9114714,SRP281932
398,SRR12632482,213,258,SRS7360069,PAIRED,SRX9114715,SRP281932
399,SRR12632481,234,304,SRS7360070,PAIRED,SRX9114716,SRP281932
400,SRR12632490,240,304,SRS7360060,PAIRED,SRX9114707,SRP281932
401,SRR12632489,174,192,SRS7360062,PAIRED,SRX9114708,SRP281932
402,SRR12632488,170,158,SRS7360063,PAIRED,SRX9114709,SRP281932
403,SRR12632487,181,170,SRS7360064,PAIRED,SRX9114710,SRP281932
404,SRR12632486,198,179,SRS7360065,PAIRED,SRX9114711,SRP281932
405,SRR12632491,184,173,SRS7360041,PAIRED,SRX9114706,SRP281932
406,SRR12632495,196,181,SRS7360056,PAIRED,SRX9114702,SRP281932
407,SRR12632494,213,232,SRS7360057,PAIRED,SRX9114703,SRP281932
408,SRR12632493,178,0,SRS7360058,PAIRED,SRX9114704,SRP281932
409,SRR12632492,187,206,SRS7360059,PAIRED,SRX9114705,SRP281932
410,SRR12632500,211,240,SRS7360051,PAIRED,SRX9114697,SRP281932
411,SRR12632499,222,235,SRS7360052,PAIRED,SRX9114698,SRP281932
412,SRR12632498,191,199,SRS7360054,PAIRED,SRX9114699,SRP281932
413,SRR12632497,193,211,SRS7360053,PAIRED,SRX9114700,SRP281932
414,SRR12632496,210,233,SRS7360055,PAIRED,SRX9114701,SRP281932
415,ERR3799300,200,3845,ERS4221342,PAIRED,ERX3801273,ERP119210
416,ERR3799301,200,3876,ERS4221343,PAIRED,ERX3801274,ERP119210
417,SRR12632503,210,244,SRS7360038,PAIRED,SRX9114694,SRP281932
418,SRR12632502,190,199,SRS7360040,PAIRED,SRX9114695,SRP281932
419,SRR12632501,204,225,SRS7360049,PAIRED,SRX9114696,SRP281932
422,ERR3799299,200,3955,ERS4221341,PAIRED,ERX3801272,ERP119210
423,SRR28682306,300,3499,SRS21017605,PAIRED,SRX24250375,SRP501788
424,SRR28682305,300,3804,SRS21017606,PAIRED,SRX24250376,SRP501788
425,SRR28682307,300,3674,SRS21017604,PAIRED,SRX24250374,SRP501788
